statistikkvariabel;region;drivstofftype;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Personbiler;0 Hele landet;Bensin;1596852;1550434;1500841;1448232;1408198;1368625;1328380;1295739;1196148;1139998;1075179;1031207;950131;891950;822133
Personbiler;0 Hele landet;Diesel;597391;690560;804384;922986;1025220;1110621;1186194;1243235;1276947;1294493;1290442;1281019;1246671;1204097;1135538
Personbiler;0 Hele landet;Elektrisk;1693;1776;2068;3909;8031;17770;38652;69134;97532;138983;195351;260692;340002;460734;599169
Ambulanser;0 Hele landet;Bensin;218;195;172;140;124;111;99;109;99;88;85;88;85;76;64
Ambulanser;0 Hele landet;Diesel;868;896;891;921;981;963;983;980;1005;1026;1007;1030;1024;1044;1071
Ambulanser;0 Hele landet;Elektrisk;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Busser;0 Hele landet;Bensin;1344;1049;864;717;578;491;421;348;308;250;223;202;181;169;153
Busser;0 Hele landet;Diesel;21794;20242;19233;18072;17131;16484;16063;15631;15179;14890;14391;14436;13822;13224;12771
Busser;0 Hele landet;Elektrisk;10;10;10;10;10;10;9;11;10;28;42;199;462;546;840
Varebiler;0 Hele landet;Bensin;64971;60030;54526;48304;43626;39166;35456;31896;29463;26814;24765;23599;21626;20480;18931
Varebiler;0 Hele landet;Diesel;314237;327345;342510;362098;380518;394596;405069;416298;429013;440051;446237;457871;463904;471131;466490
Varebiler;0 Hele landet;Elektrisk;62;67;64;101;159;511;1068;1808;2568;3478;5314;7336;9752;15133;21657
Kombinerte biler;0 Hele landet;Bensin;11782;10131;8534;7174;6009;4916;4138;3468;2828;2296;1969;1741;1529;1411;1215
Kombinerte biler;0 Hele landet;Diesel;47860;43765;39884;36183;32688;29305;26098;23128;19857;17322;14942;13085;11538;10343;9056
Kombinerte biler;0 Hele landet;Elektrisk;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lastebiler;0 Hele landet;Bensin;7534;7326;7085;6605;6045;5437;4827;4275;3420;3037;2689;2479;2324;2217;1962
Lastebiler;0 Hele landet;Diesel;76766;75286;74118;73421;73671;73799;73604;72555;71476;70375;69297;69036;67697;66908;65056
Lastebiler;0 Hele landet;Elektrisk;3;3;3;2;2;2;2;2;2;1;13;21;37;98;455
Mopeder;0 Hele landet;Bensin;159557;163387;166604;169382;172256;173376;174742;175382;175459;168959;160373;155550;151501;147907;134038
Mopeder;0 Hele landet;Diesel;1765;1774;1802;1822;1851;1830;1813;1805;1781;1745;1678;1825;2158;2707;3514
Mopeder;0 Hele landet;Elektrisk;340;396;498;642;766;881;947;1048;1142;1294;1385;1898;2688;3488;4306
Lette motorsykler;0 Hele landet;Bensin;17670;18468;19077;19753;20574;21300;22063;23441;24725;25863;26670;28122;30032;31508;27349
Lette motorsykler;0 Hele landet;Diesel;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2
Lette motorsykler;0 Hele landet;Elektrisk;6;6;11;21;39;48;51;66;65;79;81;98;128;154;261
Tunge motorsykler;0 Hele landet;Bensin;116331;121801;126214;130389;134537;138721;143839;150902;157668;162477;164180;168506;175685;181593;154720
Tunge motorsykler;0 Hele landet;Diesel;19;22;25;28;32;32;35;44;45;47;48;53;56;57;50
Tunge motorsykler;0 Hele landet;Elektrisk;689;932;1259;1450;1632;1709;1651;1575;1494;1581;1545;1680;1701;2018;2086
Snøscooter;0 Hele landet;Bensin;63629;66424;68764;70959;73511;76398;77526;82121;85796;87990;89277;91920;93357;96012;95923
Snøscooter;0 Hele landet;Diesel;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2
Snøscooter;0 Hele landet;Elektrisk;0;0;0;0;0;0;0;0;0;0;0;8;8;8;9
Traktorer;0 Hele landet;Bensin;17567;19395;21148;23080;25888;28840;32262;36475;41384;46908;52004;58667;65614;72731;78554
Traktorer;0 Hele landet;Diesel;222541;223312;225325;226328;228348;230145;231463;232391;233593;233790;232489;232987;233177;233921;233175
Traktorer;0 Hele landet;Elektrisk;3;5;6;20;37;51;58;67;77;89;92;99;113;132;143
Motorredskaper;0 Hele landet;Bensin;2613;2593;2561;2521;2478;2437;2404;2369;2314;2272;2164;2108;2075;2040;1895
Motorredskaper;0 Hele landet;Diesel;5552;5512;5465;5421;5390;5409;5368;5330;5325;4951;4529;4334;4210;4161;3996
Motorredskaper;0 Hele landet;Elektrisk;28;27;27;30;30;30;29;27;27;26;22;20;18;17;19
